School,Self-Reported Gr. 8 Full Tuition 2024-25 ,Total Number of Scholarships 24-25,Total K-8 Enrollment 24-25,School Address,School City,State,Zip
All Saints Catholic School,"$6,100.00",18,411,19795 Holyoke Ave.,Lakeville,MN,55044-8816
Annunciation School,"$6,800.00",17,340,525 - 54th St. W.,Minneapolis,MN,55419-1818
Ascension School,"$1,400.00",72,272,1726 Dupont Ave. N.,Minneapolis,MN,55411-3219
"Ave Maria Academy (Maple Grove, MN)","$9,800.00",13,161,7000 Jewel Lane N.,Maple Grove,MN,55311-2504
Benilde-St. Margaret's Schools,"$15,625.00",8,194 (7-8),2501 MN-100,St Louis Park,MN,55416
"Bethlehem Academy (Faribault, MN)","$6,950.00",22,100 (6-8),105 3rd Ave SW,Faribault,MN,55021
Blessed Trinity Catholic School ,"$5,400.00",97,197,6720 Nicollet Ave. S.,Richfield,MN,55423-3464
"Carondelet Catholic School (Minneapolis, MN)","$8,000.00",5,382,3210 - 51st St. W.,Minneapolis,MN,55410-2196
Community of Saints School,"$5,030.00",67,196,335 E. Hurley St.,West Saint Paul,MN,55118-1605
Divine Mercy Catholic School,"$4,250.00",46,213 (K-5),139 Mercy Drive,Faribault,MN,55021-6095
Epiphany School ,"$7,150.00",40,284,11001 Hanson Blvd.,Coon Rapids,MN,55433-4195
Faithful Shepherd Catholic School ,"$7,500.00",12,407,3355 Columbia Dr.,Eagan,MN,55121-4202
Frassati Catholic Academy (White Bear Lake),"$8,200.00",18,197,4690 Bald Eagle Ave.,White Bear Lake,MN,55110-3441
Good Shepherd,"$7,950.00",9,307 (K-6),145 Jersey Ave. S.,Golden Valley,MN,55426-1527
"Highland Catholic St. Paul, MN)","$7,825.00",36,386,2017 Bohland Ave,Saint Paul,MN,55116
"Hill-Murray School (Maplewood, MN)","$13,900.00",10,313 (6-8),2625 Larpenteur Ave E,Maplewood,MN,55109
Holy Cross Catholic School ,"$4,800.00",12,100,6100 - 37th St. W.,Webster,MN,55088-2138
"Holy Family Academy (St. Louis Park, MN)","$6,200.00",17,191,5925 W. Lake St.,Saint Louis Park,MN,55416-2019
Holy Name of Jesus School,"$6,480.00",12,403 (K-6),155 County Rd. 24,Wayzata,MN,55391-9614
Holy Spirit Elementary School,"$6,725.00",34,186,515 Albert St. S.,Saint Paul,MN,55116-1611
"Holy Trinity School (South Saint Paul, MN)","$5,650.00",18,88,745 - 6th Ave. S.,South Saint Paul,MN,55075-3034
Immaculate Conception,"$5,150.00",90,148,4030 Jackson St. NE,Columbia Heights,MN,55421-2929
"Mary, Queen of Peace Catholic School","$4,525.00",7,78 (K-5),21201 Church Ave.,Rogers,MN,55374-9188
Maternity of Mary - Saint Andrew School,"$5,300.00",30,87,592 Arlington Ave. W.,Saint Paul,MN,55117-4222
