Zip Code;Official USPS city name;Official USPS State Code;Official State Name;ZCTA;ZCTA parent;Population;Density;Primary Official County Code;Primary Official County Name;County Weights;Official County Name;Official County Code;Imprecise;Military;Timezone;Geo Point
55019;Dundas;MN;Minnesota;TRUE;;2069.0;39.5;27131;Rice;"{""27131"": ""100""}";Rice;27131;FALSE;FALSE;America/Chicago;44.41445, -93.248
55024;Farmington;MN;Minnesota;TRUE;;35519.0;154.1;27037;Dakota;"{""27037"": ""100""}";Dakota;27037;FALSE;FALSE;America/Chicago;44.62994, -93.13428
55372;Prior Lake;MN;Minnesota;TRUE;;33852.0;227.9;27139;Scott;"{""27139"": ""100""}";Scott;27139;FALSE;FALSE;America/Chicago;44.67752, -93.41126
55403;Minneapolis;MN;Minnesota;TRUE;;16784.0;4752.0;27053;Hennepin;"{""27053"": ""100""}";Hennepin;27053;FALSE;FALSE;America/Chicago;44.96998, -93.2857
55405;Minneapolis;MN;Minnesota;TRUE;;15942.0;2209.8;27053;Hennepin;"{""27053"": ""100""}";Hennepin;27053;FALSE;FALSE;America/Chicago;44.97026, -93.30476
55455;Minneapolis;MN;Minnesota;TRUE;;1118.0;1588.1;27053;Hennepin;"{""27053"": ""100""}";Hennepin;27053;FALSE;FALSE;America/Chicago;44.97358, -93.23316
55725;Crane Lake;MN;Minnesota;TRUE;;133.0;0.2;27137;St. Louis;"{""27137"": ""100""}";St. Louis;27137;FALSE;FALSE;America/Winnipeg;48.25997, -92.30212
55726;Cromwell;MN;Minnesota;TRUE;;1033.0;4.3;27017;Carlton;"{""27017"": ""100""}";Carlton;27017;FALSE;FALSE;America/Chicago;46.67413, -92.83121
55807;Duluth;MN;Minnesota;TRUE;;9350.0;626.7;27137;St. Louis;"{""27137"": ""100""}";St. Louis;27137;FALSE;FALSE;America/Chicago;46.73519, -92.16843
55814;Duluth;MN;Minnesota;TRUE;;596.0;5506.7;27137;St. Louis;"{""27137"": ""100""}";St. Louis;27137;FALSE;FALSE;America/Chicago;46.83413, -92.19769
55991;Zumbro Falls;MN;Minnesota;TRUE;;1464.0;10.3;27157;Wabasha;"{""27157"": ""97.32"", ""27109"": ""2.68""}";Wabasha,Olmsted;27157,27109;FALSE;FALSE;America/Chicago;44.25815, -92.4193
56047;Huntley;MN;Minnesota;TRUE;;101.0;23.1;27043;Faribault;"{""27043"": ""100""}";Faribault;27043;FALSE;FALSE;America/Chicago;43.73228, -94.23364
56056;La Salle;MN;Minnesota;TRUE;;91.0;34.1;27165;Watonwan;"{""27165"": ""100""}";Watonwan;27165;FALSE;FALSE;America/Chicago;44.07277, -94.57928
56111;Alpha;MN;Minnesota;TRUE;;384.0;3.0;27063;Jackson;"{""27063"": ""100""}";Jackson;27063;FALSE;FALSE;America/Chicago;43.6391, -94.88195
56137;Heron Lake;MN;Minnesota;TRUE;;1171.0;3.8;27063;Jackson;"{""27063"": ""89.3"", ""27033"": ""10.7""}";Jackson,Cottonwood;27063,27033;FALSE;FALSE;America/Chicago;43.83488, -95.32681
56149;Lake Benton;MN;Minnesota;TRUE;;1082.0;3.8;27081;Lincoln;"{""27081"": ""99.05"", ""27117"": ""0.95""}";Lincoln,Pipestone;27081,27117;FALSE;FALSE;America/Chicago;44.30096, -96.30744
56230;Danube;MN;Minnesota;TRUE;;805.0;5.1;27129;Renville;"{""27129"": ""100""}";Renville;27129;FALSE;FALSE;America/Chicago;44.79299, -95.0924
