zip_code,poverty_rate,mean_income
51360,6.9,95506.0
55001,5.7,179832.0
55003,3.9,121788.0
55005,2.1,120306.0
55006,12.4,80764.0
55007,8.9,79707.0
55008,9.3,93809.0
55009,5.7,106280.0
55011,2.2,135843.0
55012,10.8,112580.0
55013,5.2,110706.0
55014,5.6,117926.0
55016,4.2,137642.0
55017,8.8,98100.0
55018,2.7,123508.0
55019,2.3,140906.0
55020,3.2,157943.0
55021,13.3,93775.0
55024,3.0,135907.0
55025,6.0,117406.0
55026,3.1,132861.0
55027,8.6,106821.0
55029,0.0,72800.0
55030,6.4,96361.0
55031,4.2,127426.0
55032,8.6,110357.0
55033,4.9,117540.0
55036,17.6,39890.0
55037,13.6,76135.0
55038,1.5,153583.0
55040,7.3,104795.0
55041,5.8,98029.0
55042,4.1,220493.0
55043,7.2,141018.0
55044,3.1,170042.0
55045,5.6,129103.0
55046,2.2,106151.0
55047,3.1,170670.0
55049,6.2,103478.0
55051,10.2,87737.0
55052,8.5,99795.0
55053,5.1,117078.0
55054,0.0,164832.0
55055,10.6,89921.0
55056,5.8,114268.0
55057,6.4,115330.0
55060,7.9,103042.0
55063,8.4,87244.0
55065,4.3,135690.0
55066,12.4,94493.0
55068,3.9,150505.0
55069,8.7,94035.0
55070,6.7,106611.0
55071,5.3,104008.0
55072,18.1,68425.0
55073,2.2,152965.0
55074,4.7,114086.0
55075,9.1,92841.0
55076,5.6,116165.0
55077,3.1,149635.0
55079,4.5,122887.0
55080,5.0,126030.0
55082,6.0,162276.0
55084,3.6,106011.0
55085,5.6,99960.0
55087,3.1,117055.0
55088,4.9,149734.0
55089,11.5,133996.0
55090,5.6,88252.0
55092,3.6,114536.0
55101,13.7,98282.0
55102,13.7,100797.0
55103,26.5,64869.0
55104,16.9,104220.0
55105,7.2,166521.0
55106,17.0,84225.0
55107,16.4,94858.0
55108,10.7,121858.0
55109,10.4,100925.0
55110,5.9,126149.0
55111,16.0,107899.0
55112,9.8,119932.0
55113,7.4,121338.0
55114,15.9,89690.0
55115,4.6,194218.0
55116,9.6,124075.0
55117,15.5,92740.0
55118,7.5,116353.0
55119,11.4,98888.0
55120,2.9,149446.0
55121,7.1,110629.0
55122,9.0,119228.0
55123,2.1,170960.0
55124,5.9,125930.0
55125,6.4,144009.0
55126,5.7,143123.0
55127,4.2,165460.0
55128,6.2,108350.0
55129,2.8,181616.0
55130,28.9,71693.0
55150,12.7,151793.0
55301,1.2,141436.0
55302,8.5,101617.0
55303,4.9,114692.0
55304,3.6,152141.0
55305,5.1,147885.0
55306,6.2,119078.0
55307,12.4,83915.0
55308,3.7,113945.0
55309,3.7,137635.0
55310,8.4,107176.0
55311,3.0,179159.0
55312,5.3,101302.0
55313,6.3,111742.0
55314,10.7,91961.0
55315,2.8,152437.0
55316,7.0,133534.0
55317,3.2,188488.0
55318,4.8,142462.0
55319,3.1,132120.0
55320,6.1,145766.0
55321,7.1,94578.0
55322,5.2,130404.0
55324,6.5,100646.0
55325,6.4,99028.0
55327,3.4,171761.0
55328,2.6,143797.0
55329,11.0,87556.0
55330,2.4,130896.0
55331,3.8,250938.0
55332,11.7,76976.0
55333,14.7,78889.0
55334,12.8,96967.0
55335,13.2,89735.0
55336,6.7,90371.0
55337,9.6,100195.0
55338,2.5,100172.0
55339,5.9,109567.0
55340,1.2,227361.0
55341,2.2,155491.0
55342,9.6,83140.0
55343,8.9,105834.0
55344,14.8,122247.0
55345,4.1,183598.0
55346,3.6,164202.0
55347,3.3,209493.0
55349,6.4,105238.0
55350,9.0,101928.0
55352,4.9,133731.0
55353,6.3,101467.0
55354,4.6,108163.0
55355,7.8,89180.0
55356,6.3,309302.0
55357,7.5,187509.0
55358,6.5,122964.0
55359,11.6,198696.0
55360,6.4,132416.0
55362,6.8,109137.0
55363,12.6,99692.0
55364,6.5,171987.0
55366,3.9,83734.0
55367,6.2,114783.0
55368,9.7,96024.0
55369,4.8,139988.0
55370,3.8,114577.0
55371,6.4,99581.0
55372,2.3,184443.0
55373,5.5,117334.0
55374,2.0,164971.0
55375,2.8,166421.0
55376,3.6,146172.0
55378,4.9,148041.0
55379,5.7,133526.0
55381,4.1,98524.0
55382,6.8,121894.0
55384,7.6,84073.0
55385,7.1,93700.0
55386,1.8,205506.0
55387,4.1,131941.0
55388,9.6,107645.0
55389,5.1,98358.0
55390,8.7,116153.0
55391,5.2,279373.0
55395,10.0,87672.0
55396,9.5,83519.0
55397,6.2,99086.0
55398,6.5,117742.0
55401,4.8,152794.0
55402,18.8,99339.0
55403,15.4,103336.0
55404,30.9,65521.0
55405,20.6,110663.0
55406,8.2,114202.0
55407,16.9,101109.0
55408,15.3,99219.0
55409,7.2,125111.0
55410,2.4,205390.0
55411,26.8,75239.0
55412,13.4,88488.0
55413,9.2,109886.0
55414,40.0,74434.0
55415,15.3,177674.0
55416,5.4,145944.0
55417,6.3,142945.0
55418,8.5,120354.0
55419,6.9,186648.0
55420,16.9,97658.0
55421,12.4,88593.0
55422,8.5,127636.0
55423,7.3,106518.0
55424,1.6,340154.0
55425,14.3,92794.0
55426,9.0,117740.0
55427,9.5,113783.0
55428,13.9,85928.0
55429,11.7,88279.0
55430,12.4,91179.0
55431,4.7,119172.0
55432,12.4,95355.0
55433,9.4,91308.0
55434,8.6,97046.0
55435,9.6,106977.0
55436,3.9,218152.0
55437,5.0,122843.0
55438,4.0,137432.0
55439,2.1,236379.0
55441,8.6,146616.0
55442,3.6,159984.0
55443,11.9,114956.0
55444,3.9,135600.0
55445,6.7,119514.0
55446,2.3,202587.0
55447,3.0,163304.0
55448,6.4,110847.0
55449,3.5,155673.0
55454,51.4,38979.0
55455,100.0,
55601,13.3,68027.0
55602,8.7,80351.0
55603,12.1,69965.0
55604,8.8,91160.0
55605,18.2,65149.0
55606,20.6,92033.0
55607,12.0,82530.0
55609,9.3,65780.0
55612,4.9,98973.0
55613,28.0,220089.0
55614,9.4,87207.0
55615,16.0,85783.0
55616,7.7,88953.0
55702,9.7,80327.0
55703,6.7,83475.0
55704,13.3,70544.0
55705,14.7,72599.0
55706,15.0,71682.0
55707,8.3,89642.0
55708,6.0,79330.0
55709,11.1,87534.0
55710,6.5,106194.0
55711,26.7,72171.0
55712,7.5,72605.0
55713,2.4,76210.0
55716,20.1,50936.0
55717,5.0,108268.0
55718,4.1,105655.0
55719,9.8,88216.0
55720,12.5,86382.0
55721,8.9,118282.0
55722,21.2,74874.0
55723,16.7,79378.0
55724,5.4,84231.0
55725,6.5,86368.0
55726,6.7,82697.0
55731,12.0,75092.0
55732,11.5,79881.0
55733,4.1,130996.0
55734,15.2,82151.0
55735,11.0,75052.0
55736,12.7,72735.0
55738,10.1,103927.0
55741,9.4,88938.0
55742,14.4,78836.0
55744,12.0,85758.0
55746,13.9,74236.0
55748,16.8,68191.0
55749,8.0,78435.0
55750,10.1,73671.0
55751,6.2,82189.0
55752,5.0,85306.0
55753,28.3,61124.0
55756,2.8,99241.0
55757,8.2,73021.0
55758,14.0,59418.0
55760,13.4,76550.0
55763,8.4,86616.0
55764,12.3,72391.0
55765,8.0,81815.0
55767,27.9,86105.0
55768,8.0,90499.0
55769,8.9,83675.0
55771,12.8,84454.0
55772,14.5,53697.0
55775,7.9,104651.0
55779,7.8,120349.0
55780,8.3,84114.0
55781,3.2,108683.0
55782,9.6,67800.0
55783,7.2,91145.0
55784,18.8,64064.0
55785,3.5,72543.0
55786,2.5,90422.0
55787,3.3,84643.0
55790,9.6,96051.0
55792,20.8,66156.0
55793,14.5,82828.0
55795,7.4,91719.0
55796,7.1,62517.0
55797,5.3,90634.0
55798,13.1,111164.0
55802,30.0,87120.0
55803,7.6,116212.0
55804,6.4,140218.0
55805,26.1,64045.0
55806,25.4,59424.0
55807,15.2,76839.0
55808,11.3,75649.0
55810,4.8,99568.0
55811,11.4,109929.0
55812,24.8,97656.0
55901,9.4,114145.0
55902,4.8,188448.0
55904,10.5,94891.0
55906,8.4,133085.0
55909,4.5,113644.0
55910,6.4,86493.0
55912,14.0,83638.0
55917,4.7,94264.0
55918,8.8,90135.0
55919,7.0,98060.0
55920,5.3,148704.0
55921,6.8,98527.0
55922,21.5,70083.0
55923,5.4,113835.0
55924,14.7,92971.0
55925,2.4,106965.0
55926,7.3,109425.0
55927,4.5,109118.0
55929,4.0,118666.0
55931,4.1,86017.0
55932,4.9,124426.0
55933,6.8,99145.0
55934,5.3,107426.0
55935,4.9,108946.0
55936,6.3,122295.0
55939,12.1,78078.0
55940,8.4,98325.0
55941,6.7,85165.0
55943,8.4,87021.0
55944,2.7,115554.0
55945,7.6,94489.0
55946,11.9,91898.0
55947,4.8,103678.0
55949,7.2,98155.0
55950,36.7,57868.0
